time,mem_used
2026-01-01 11:45:00,4.93158691504128E10
2026-01-01 12:45:00,4.93158691504128E10
2026-01-01 13:45:00,4.69575100530688E10
2026-01-01 14:45:00,4.69575100530688E10
2026-01-01 15:45:00,4.93158691504128E10
2026-01-01 16:45:00,4.69575100530688E10
2026-01-01 17:45:00,4.69575100530688E10
2026-01-01 18:45:00,4.69575100530688E10
2026-01-01 19:45:00,4.69575100530688E10
2026-01-01 20:45:00,4.69575100530688E10
2026-01-01 21:45:00,4.69575100530688E10
2026-01-01 22:45:00,4.47114537598976E10
2026-01-01 23:45:00,4.47114537598976E10
2026-01-02 00:45:00,4.47114537598976E10
2026-01-02 01:45:00,4.47114537598976E10
2026-01-02 02:45:00,4.25723524284416E10
2026-01-02 03:45:00,3.85948848226304E10
2026-01-02 04:45:00,3.85948848226304E10
2026-01-02 05:45:00,3.67470483341312E10
2026-01-02 06:45:00,3.85948848226304E10
2026-01-02 07:45:00,3.85948848226304E10
2026-01-02 08:45:00,4.25723524284416E10
2026-01-02 09:45:00,4.47114537598976E10
2026-01-02 10:45:00,4.47114537598976E10
2026-01-02 11:45:00,4.69575100530688E10
2026-01-02 12:45:00,4.69575100530688E10
2026-01-02 13:45:00,4.69575100530688E10
2026-01-02 14:45:00,4.69575100530688E10
2026-01-02 15:45:00,4.69575100530688E10
2026-01-02 16:45:00,4.69575100530688E10
2026-01-02 17:45:00,4.69575100530688E10
2026-01-02 18:45:00,4.69575100530688E10
2026-01-02 19:45:00,4.69575100530688E10
2026-01-02 20:45:00,4.69575100530688E10
2026-01-02 21:45:00,4.69575100530688E10
2026-01-02 22:45:00,4.47114537598976E10
2026-01-02 23:45:00,4.25723524284416E10
2026-01-03 00:45:00,4.47114537598976E10
2026-01-03 01:45:00,4.25723524284416E10
2026-01-03 02:45:00,4.25723524284416E10
2026-01-03 03:45:00,4.25723524284416E10
2026-01-03 04:45:00,4.05351129153536E10
2026-01-03 05:45:00,4.05351129153536E10
2026-01-03 06:45:00,3.85948848226304E10
2026-01-03 07:45:00,4.05351129153536E10
2026-01-03 08:45:00,4.25723524284416E10
2026-01-03 09:45:00,4.47114537598976E10
2026-01-03 10:45:00,4.69575100530688E10
2026-01-03 11:45:00,4.93158691504128E10
2026-01-03 12:45:00,4.69575100530688E10
2026-01-03 13:45:00,4.69575100530688E10
2026-01-03 14:45:00,4.69575100530688E10
2026-01-03 15:45:00,4.69575100530688E10
2026-01-03 16:45:00,4.69575100530688E10
2026-01-03 17:45:00,4.69575100530688E10
2026-01-03 18:45:00,4.69575100530688E10
2026-01-03 19:45:00,4.69575100530688E10
2026-01-03 20:45:00,4.69575100530688E10
2026-01-03 21:45:00,4.47114537598976E10
2026-01-03 22:45:00,4.47114537598976E10
2026-01-03 23:45:00,4.47114537598976E10
2026-01-04 00:45:00,4.47114537598976E10
2026-01-04 01:45:00,4.47114537598976E10
2026-01-04 02:45:00,4.47114537598976E10
2026-01-04 03:45:00,4.47114537598976E10
2026-01-04 04:45:00,4.47114537598976E10
2026-01-04 05:45:00,4.05351129153536E10
2026-01-04 06:45:00,4.25723524284416E10
2026-01-04 07:45:00,4.25723524284416E10
2026-01-04 08:45:00,4.47114537598976E10
2026-01-04 09:45:00,4.47114537598976E10
2026-01-04 10:45:00,4.47114537598976E10
2026-01-04 11:45:00,4.47114537598976E10
2026-01-04 12:45:00,4.69575100530688E10
2026-01-04 13:45:00,4.69575100530688E10
2026-01-04 14:45:00,4.69575100530688E10
2026-01-04 15:45:00,4.69575100530688E10
2026-01-04 16:45:00,4.69575100530688E10
2026-01-04 17:45:00,4.69575100530688E10
2026-01-04 18:45:00,4.69575100530688E10
2026-01-04 19:45:00,4.69575100530688E10
2026-01-04 20:45:00,4.69575100530688E10
2026-01-04 21:45:00,4.69575100530688E10
2026-01-04 22:45:00,4.47114537598976E10
2026-01-04 23:45:00,4.47114537598976E10
2026-01-05 00:45:00,4.69575100530688E10
2026-01-05 01:45:00,4.47114537598976E10
2026-01-05 02:45:00,4.25723524284416E10
2026-01-05 03:45:00,4.25723524284416E10
2026-01-05 04:45:00,4.25723524284416E10
2026-01-05 05:45:00,4.25723524284416E10
2026-01-05 06:45:00,4.25723524284416E10
2026-01-05 07:45:00,4.47114537598976E10
2026-01-05 08:45:00,4.47114537598976E10
2026-01-05 09:45:00,4.47114537598976E10
2026-01-05 10:45:00,4.69575100530688E10
2026-01-05 11:45:00,4.69575100530688E10
2026-01-05 12:45:00,4.93158691504128E10
2026-01-05 13:45:00,4.69575100530688E10
2026-01-05 14:45:00,4.93158691504128E10
2026-01-05 15:45:00,4.69575100530688E10
2026-01-05 16:45:00,4.69575100530688E10
2026-01-05 17:45:00,4.69575100530688E10
2026-01-05 18:45:00,4.47114537598976E10
2026-01-05 19:45:00,4.69575100530688E10
2026-01-05 20:45:00,4.69575100530688E10
2026-01-05 21:45:00,4.47114537598976E10
2026-01-05 22:45:00,4.47114537598976E10
2026-01-05 23:45:00,4.47114537598976E10
2026-01-06 00:45:00,4.25723524284416E10
2026-01-06 01:45:00,4.25723524284416E10
2026-01-06 02:45:00,4.25723524284416E10
2026-01-06 03:45:00,4.25723524284416E10
2026-01-06 04:45:00,4.05351129153536E10
2026-01-06 05:45:00,4.05351129153536E10
2026-01-06 06:45:00,4.25723524284416E10
2026-01-06 07:45:00,4.25723524284416E10
2026-01-06 08:45:00,4.47114537598976E10
2026-01-06 09:45:00,4.47114537598976E10
2026-01-06 10:45:00,4.47114537598976E10
2026-01-06 11:45:00,4.69575100530688E10
2026-01-06 12:45:00,4.93158691504128E10
2026-01-06 13:45:00,4.93158691504128E10
2026-01-06 14:45:00,4.93158691504128E10
2026-01-06 15:45:00,4.69575100530688E10
2026-01-06 16:45:00,4.69575100530688E10
2026-01-06 17:45:00,4.47114537598976E10
2026-01-06 18:45:00,4.47114537598976E10
2026-01-06 19:45:00,4.47114537598976E10
2026-01-06 20:45:00,4.47114537598976E10
2026-01-06 21:45:00,4.47114537598976E10
2026-01-06 22:45:00,4.47114537598976E10
2026-01-06 23:45:00,4.47114537598976E10
2026-01-07 00:45:00,4.47114537598976E10
2026-01-07 01:45:00,4.47114537598976E10
2026-01-07 02:45:00,4.47114537598976E10
2026-01-07 03:45:00,4.25723524284416E10
2026-01-07 04:45:00,4.05351129153536E10
2026-01-07 05:45:00,4.05351129153536E10
2026-01-07 06:45:00,4.25723524284416E10
2026-01-07 07:45:00,4.47114537598976E10
2026-01-07 08:45:00,4.47114537598976E10
2026-01-07 09:45:00,4.47114537598976E10
2026-01-07 10:45:00,4.69575100530688E10
2026-01-07 11:45:00,4.93158691504128E10
2026-01-07 12:45:00,4.69575100530688E10
2026-01-07 13:45:00,4.93158691504128E10
2026-01-07 14:45:00,4.69575100530688E10
2026-01-07 15:45:00,4.69575100530688E10
2026-01-07 16:45:00,4.69575100530688E10
2026-01-07 17:45:00,4.69575100530688E10
2026-01-07 18:45:00,4.69575100530688E10
2026-01-07 19:45:00,4.69575100530688E10
2026-01-07 20:45:00,4.69575100530688E10
2026-01-07 21:45:00,4.69575100530688E10
2026-01-07 22:45:00,4.69575100530688E10
2026-01-07 23:45:00,4.69575100530688E10
2026-01-08 00:45:00,4.69575100530688E10
2026-01-08 01:45:00,4.69575100530688E10
2026-01-08 02:45:00,4.47114537598976E10
2026-01-08 03:45:00,4.47114537598976E10
2026-01-08 04:45:00,4.47114537598976E10
2026-01-08 05:45:00,4.47114537598976E10
2026-01-08 06:45:00,4.47114537598976E10
2026-01-08 07:45:00,4.69575100530688E10
2026-01-08 08:45:00,4.69575100530688E10
2026-01-08 09:45:00,4.69575100530688E10
