"Time","MemoryUsed"
2026-01-07 19:05:00,334223593144
2026-01-07 19:10:00,331411792200
2026-01-07 19:15:00,334525165076
2026-01-07 19:20:00,334312954921
2026-01-07 19:25:00,331441596334
2026-01-07 19:30:00,332976088515
2026-01-07 19:35:00,331844370268
2026-01-07 19:40:00,330653136159
2026-01-07 19:45:00,334819707617
2026-01-07 19:50:00,332286089134
2026-01-07 19:55:00,329331808666
2026-01-07 20:00:00,314414912143
2026-01-07 20:05:00,317177240617
2026-01-07 20:10:00,320143004795
2026-01-07 20:15:00,319816107459
2026-01-07 20:20:00,320804939858
2026-01-07 20:25:00,322100784497
2026-01-07 20:30:00,325825323336
2026-01-07 20:35:00,319740128133
2026-01-07 20:40:00,320784487219
2026-01-07 20:45:00,329983043502
2026-01-07 20:50:00,321535419023
2026-01-07 20:55:00,324414267392
2026-01-07 21:00:00,326131727401
2026-01-07 21:05:00,322778668564
2026-01-07 21:10:00,322854213222
2026-01-07 21:15:00,325582495580
2026-01-07 21:20:00,319761697014
2026-01-07 21:25:00,323913469297
2026-01-07 21:30:00,324488423506
2026-01-07 21:35:00,321098390569
2026-01-07 21:40:00,324638250762
2026-01-07 21:45:00,326817111245
2026-01-07 21:50:00,321598486610
2026-01-07 21:55:00,325644031263
2026-01-07 22:00:00,325044808417
2026-01-07 22:05:00,317938957844
2026-01-07 22:10:00,320641926595
2026-01-07 22:15:00,317897884631
2026-01-07 22:20:00,296561126769
2026-01-07 22:25:00,292267956961
2026-01-07 22:30:00,289713874534
2026-01-07 22:35:00,294902423224
2026-01-07 22:40:00,298142059725
2026-01-07 22:45:00,301490597724
2026-01-07 22:50:00,301754138132
2026-01-07 22:55:00,303014649528
2026-01-07 23:00:00,303000696914
2026-01-07 23:05:00,303446393979
2026-01-07 23:10:00,303018617569
2026-01-07 23:15:00,284961032274
2026-01-07 23:20:00,280357580308
2026-01-07 23:25:00,279512408392
2026-01-07 23:30:00,281527649239
2026-01-07 23:35:00,283032037622
2026-01-07 23:40:00,281983524045
2026-01-07 23:45:00,284919435100
2026-01-07 23:50:00,284169177334
2026-01-07 23:55:00,285729745961
2026-01-08 00:00:00,273126277448
2026-01-08 00:05:00,314446082703
2026-01-08 00:10:00,290651452539
2026-01-08 00:15:00,287061788918
2026-01-08 00:20:00,282672735191
2026-01-08 00:25:00,338314975642
2026-01-08 00:30:00,336495117599
2026-01-08 00:35:00,365612372951
2026-01-08 00:40:00,349780752630
2026-01-08 00:45:00,357179362017
2026-01-08 00:50:00,354069722235
2026-01-08 00:55:00,395164008776
2026-01-08 01:00:00,411134895718
2026-01-08 01:05:00,208694723215
2026-01-08 01:10:00,411483139932
2026-01-08 01:15:00,247156597555
2026-01-08 01:20:00,226828632719
2026-01-08 01:25:00,294319366799
2026-01-08 01:30:00,323791228764
2026-01-08 01:35:00,276396976210
2026-01-08 01:40:00,351221701509
2026-01-08 01:45:00,472032303350
2026-01-08 01:50:00,190206096835
2026-01-08 01:55:00,271570691686
2026-01-08 02:00:00,201434869924
2026-01-08 02:05:00,250234587546
2026-01-08 02:10:00,341336604672
2026-01-08 02:15:00,290185314918
2026-01-08 02:20:00,393198020526
2026-01-08 02:25:00,158495173018
2026-01-08 02:30:00,512793532826
2026-01-08 02:35:00,458459480064
2026-01-08 02:40:00,331290165084
2026-01-08 02:45:00,285125420319
2026-01-08 02:50:00,444768167690
2026-01-08 02:55:00,317810317558
2026-01-08 03:00:00,202478883635
2026-01-08 03:05:00,189596049736
2026-01-08 03:10:00,184045558989
2026-01-08 03:15:00,184208135782
2026-01-08 03:20:00,183110483149
2026-01-08 03:25:00,182000124723
2026-01-08 03:30:00,181620011008
2026-01-08 03:35:00,180313263309
2026-01-08 03:40:00,181067249254
2026-01-08 03:45:00,179794250957
2026-01-08 03:50:00,180787177062
2026-01-08 03:55:00,180240732160
2026-01-08 04:00:00,181711161754
2026-01-08 04:05:00,180758016000
2026-01-08 04:10:00,181020467200
2026-01-08 04:15:00,181472568934
2026-01-08 04:20:00,180853558477
2026-01-08 04:25:00,181154112307
2026-01-08 04:30:00,182484797850
2026-01-08 04:35:00,182669859226
2026-01-08 04:40:00,183734075392
