time,cpu_util
2025-12-29 11:15:00,1021.1023
2025-12-29 11:20:00,1021.1023
2025-12-29 11:25:00,1021.1023
2025-12-29 11:30:00,1021.1023
2025-12-29 11:35:00,1021.1023
2025-12-29 11:40:00,1021.1023
2025-12-29 11:45:00,1021.1023
2025-12-29 11:50:00,1021.1023
2025-12-29 11:55:00,1021.1023
2025-12-29 12:00:00,1021.1023
2025-12-29 12:05:00,1021.1023
2025-12-29 12:10:00,1021.1023
2025-12-29 12:15:00,1021.1023
2025-12-29 12:20:00,1021.1023
2025-12-29 12:25:00,1021.1023
2025-12-29 12:30:00,1021.1023
2025-12-29 12:35:00,1021.1023
2025-12-29 12:40:00,1021.1023
2025-12-29 12:45:00,1021.1023
2025-12-29 12:50:00,1021.1023
2025-12-29 12:55:00,1021.1023
2025-12-29 13:00:00,1021.1023
2025-12-29 13:05:00,1021.1023
2025-12-29 13:10:00,1021.1023
2025-12-29 13:15:00,1021.1023
2025-12-29 13:20:00,1021.1023
2025-12-29 13:25:00,1021.1023
2025-12-29 13:30:00,1021.1023
2025-12-29 13:35:00,1021.1023
2025-12-29 13:40:00,1021.1023
2025-12-29 13:45:00,1021.1023
2025-12-29 13:50:00,1021.1023
2025-12-29 13:55:00,1021.1023
2025-12-29 14:00:00,1021.1023
2025-12-29 14:05:00,1021.1023
2025-12-29 14:10:00,1021.1023
2025-12-29 14:15:00,1021.1023
2025-12-29 14:20:00,1021.1023
2025-12-29 14:25:00,1021.1023
2025-12-29 14:30:00,1021.1023
2025-12-29 14:35:00,1021.1023
2025-12-29 14:40:00,1021.1023
2025-12-29 14:45:00,1021.1023
2025-12-29 14:50:00,1021.1023
2025-12-29 14:55:00,1021.1023
2025-12-29 15:00:00,1021.1023
2025-12-29 15:05:00,1021.1023
2025-12-29 15:10:00,1021.1023
2025-12-29 15:15:00,1021.1023
2025-12-29 15:20:00,1021.1023
2025-12-29 15:25:00,1021.1023
2025-12-29 15:30:00,1021.1023
2025-12-29 15:35:00,1021.1023
2025-12-29 15:40:00,1021.1023
2025-12-29 15:45:00,1021.1023
2025-12-29 15:50:00,1021.1023
2025-12-29 15:55:00,1021.1023
2025-12-29 16:00:00,1021.1023
2025-12-29 16:05:00,1021.1023
2025-12-29 16:10:00,1021.1023
2025-12-29 16:15:00,1021.1023
2025-12-29 16:20:00,1021.1023
2025-12-29 16:25:00,1021.1023
2025-12-29 16:30:00,1021.1023
2025-12-29 16:35:00,1021.1023
2025-12-29 16:40:00,1021.1023
2025-12-29 16:45:00,1021.1023
2025-12-29 16:50:00,1021.1023
2025-12-29 16:55:00,1021.1023
2025-12-29 17:00:00,1021.1023
2025-12-29 17:05:00,1021.1023
2025-12-29 17:10:00,1021.1023
2025-12-29 17:15:00,1021.1023
2025-12-29 17:20:00,1021.1023
2025-12-29 17:25:00,1021.1023
2025-12-29 17:30:00,1021.1023
2025-12-29 17:35:00,1021.1023
2025-12-29 17:40:00,1021.1023
2025-12-29 17:45:00,1021.1023
2025-12-29 17:50:00,1021.1023
2025-12-29 17:55:00,1021.1023
2025-12-29 18:00:00,1021.1023
2025-12-29 18:05:00,1021.1023
2025-12-29 18:10:00,1021.1023
2025-12-29 18:15:00,1021.1023
2025-12-29 18:20:00,1021.1023
2025-12-29 18:25:00,1021.1023
2025-12-29 18:30:00,1021.1023
2025-12-29 18:35:00,1021.1023
2025-12-29 18:40:00,1021.1023
2025-12-29 18:45:00,1021.1023
2025-12-29 18:50:00,1021.1023
2025-12-29 18:55:00,1021.1023
2025-12-29 19:00:00,1021.1023
2025-12-29 19:05:00,1021.1023
2025-12-29 19:10:00,1021.1023
2025-12-29 19:15:00,1021.1023
2025-12-29 19:20:00,1021.1023
2025-12-29 19:25:00,1021.1023
2025-12-29 19:30:00,1021.1023
2025-12-29 19:35:00,1021.1023
2025-12-29 19:40:00,1021.1023
2025-12-29 19:45:00,1021.1023
2025-12-29 19:50:00,1021.1023
2025-12-29 19:55:00,1021.1023
2025-12-29 20:00:00,1021.1023
2025-12-29 20:05:00,1021.1023
2025-12-29 20:10:00,1021.1023
2025-12-29 20:15:00,1021.1023
2025-12-29 20:20:00,1021.1023
2025-12-29 20:25:00,1021.1023
2025-12-29 20:30:00,1021.1023
2025-12-29 20:35:00,1021.1023
2025-12-29 20:40:00,1021.1023
2025-12-29 20:45:00,1021.1023
2025-12-29 20:50:00,1021.1023
2025-12-29 20:55:00,1021.1023
2025-12-29 21:00:00,1021.1023
2025-12-29 21:05:00,1021.1023
2025-12-29 21:10:00,1021.1023
2025-12-29 21:15:00,1021.1023
2025-12-29 21:20:00,1021.1023
2025-12-29 21:25:00,1021.1023
2025-12-29 21:30:00,1021.1023
2025-12-29 21:35:00,1021.1023
2025-12-29 21:40:00,1021.1023
2025-12-29 21:45:00,1021.1023
2025-12-29 21:50:00,1021.1023
2025-12-29 21:55:00,1021.1023
2025-12-29 22:00:00,1021.1023
2025-12-29 22:05:00,1021.1023
2025-12-29 22:10:00,1021.1023
2025-12-29 22:15:00,1021.1023
2025-12-29 22:20:00,1021.1023
2025-12-29 22:25:00,1021.1023
2025-12-29 22:30:00,1021.1023
2025-12-29 22:35:00,1021.1023
2025-12-29 22:40:00,1021.1023
2025-12-29 22:45:00,1021.1023
2025-12-29 22:50:00,1021.1023
2025-12-29 22:55:00,1021.1023
2025-12-29 23:00:00,1021.1023
2025-12-29 23:05:00,1021.1023
2025-12-29 23:10:00,1021.1023
2025-12-29 23:15:00,1021.1023
2025-12-29 23:20:00,1021.1023
2025-12-29 23:25:00,1021.1023
2025-12-29 23:30:00,1021.1023
2025-12-29 23:35:00,1021.1023
2025-12-29 23:40:00,1021.1023
2025-12-29 23:45:00,1021.1023
2025-12-29 23:50:00,1021.1023
2025-12-29 23:55:00,1021.1023
2025-12-30 00:00:00,1021.1023
2025-12-30 00:05:00,1021.1023
2025-12-30 00:10:00,1021.1023
2025-12-30 00:15:00,1021.1023
2025-12-30 00:20:00,1021.1023
2025-12-30 00:25:00,1021.1023
2025-12-30 00:30:00,1021.1023
2025-12-30 00:35:00,1021.1023
2025-12-30 00:40:00,1021.1023
2025-12-30 00:45:00,1021.1023
2025-12-30 00:50:00,1021.1023
2025-12-30 00:55:00,1021.1023
2025-12-30 01:00:00,1021.1023
2025-12-30 01:05:00,1021.1023
2025-12-30 01:10:00,1021.1023
2025-12-30 01:15:00,1021.1023
2025-12-30 01:20:00,1021.1023
2025-12-30 01:25:00,1021.1023
2025-12-30 01:30:00,1021.1023
2025-12-30 01:35:00,1021.1023
2025-12-30 01:40:00,1021.1023
2025-12-30 01:45:00,1021.1023
2025-12-30 01:50:00,1021.1023
2025-12-30 01:55:00,1021.1023
2025-12-30 02:00:00,1021.1023
2025-12-30 02:05:00,1021.1023
2025-12-30 02:10:00,1021.1023
2025-12-30 02:15:00,1021.1023
2025-12-30 02:20:00,1021.1023
2025-12-30 02:25:00,1021.1023
2025-12-30 02:30:00,1021.1023
2025-12-30 02:35:00,1021.1023
2025-12-30 02:40:00,1021.1023
2025-12-30 02:45:00,1021.1023
2025-12-30 02:50:00,1021.1023
2025-12-30 02:55:00,1021.1023
2025-12-30 03:00:00,1021.1023
2025-12-30 03:05:00,1021.1023
2025-12-30 03:10:00,1021.1023
2025-12-30 03:15:00,1021.1023
2025-12-30 03:20:00,1020.7175
2025-12-30 03:25:00,1019.2924
2025-12-30 03:30:00,1019.3067
2025-12-30 03:35:00,1019.3207
2025-12-30 03:40:00,1019.3347
2025-12-30 03:45:00,1019.3484
2025-12-30 03:50:00,1019.362
2025-12-30 03:55:00,1019.3755
2025-12-30 04:00:00,1019.3889
2025-12-30 04:05:00,1019.4021
2025-12-30 04:10:00,1019.4151
2025-12-30 04:15:00,1019.428
2025-12-30 04:20:00,1019.4408
2025-12-30 04:25:00,1019.4535
2025-12-30 04:30:00,1019.466
2025-12-30 04:35:00,1019.4784
2025-12-30 04:40:00,1019.4906
2025-12-30 04:45:00,1019.5028
2025-12-30 04:50:00,1019.5148
2025-12-30 04:55:00,1019.5267
2025-12-30 05:00:00,1019.5384
