time,value
2026-01-01 10:45:00,58287648480
2026-01-01 10:50:00,52625478918
2026-01-01 10:55:00,54233184317
2026-01-01 11:00:00,50932843133
2026-01-01 11:05:00,51770264179
2026-01-01 11:10:00,48755556080
2026-01-01 11:15:00,44803934733
2026-01-01 11:20:00,51358115653
2026-01-01 11:25:00,51307532392
2026-01-01 11:30:00,51023613120
2026-01-01 11:35:00,49479781024
2026-01-01 11:40:00,49893190720
2026-01-01 11:45:00,49156560432
2026-01-01 11:50:00,52313498962
2026-01-01 11:55:00,47385375813
2026-01-01 12:00:00,48892170566
2026-01-01 12:05:00,51931368018
2026-01-01 12:10:00,50973779862
2026-01-01 12:15:00,51170769466
2026-01-01 12:20:00,54955151251
2026-01-01 12:25:00,50262772846
2026-01-01 12:30:00,54715432037
2026-01-01 12:35:00,53031434326
2026-01-01 12:40:00,49165047530
2026-01-01 12:45:00,45913324786
2026-01-01 12:50:00,48227053138
2026-01-01 12:55:00,46187048683
2026-01-01 13:00:00,43577629979
2026-01-01 13:05:00,46872056016
2026-01-01 13:10:00,46549231762
2026-01-01 13:15:00,41945051730
2026-01-01 13:20:00,40745924150
2026-01-01 13:25:00,40479462936
2026-01-01 13:30:00,40593752904
2026-01-01 13:35:00,41186549835
2026-01-01 13:40:00,38734869416
2026-01-01 13:45:00,42390051557
2026-01-01 13:50:00,39830852203
2026-01-01 13:55:00,39462472317
2026-01-01 14:00:00,42504182968
2026-01-01 14:05:00,39417652418
2026-01-01 14:10:00,37543465117
2026-01-01 14:15:00,37513459750
2026-01-01 14:20:00,38209354834
2026-01-01 14:25:00,35855210043
2026-01-01 14:30:00,36391172038
2026-01-01 14:35:00,38603752558
2026-01-01 14:40:00,36857218979
2026-01-01 14:45:00,35524780198
2026-01-01 14:50:00,37182291573
2026-01-01 14:55:00,51690507746
2026-01-01 15:00:00,53268738874
2026-01-01 15:05:00,46798472920
2026-01-01 15:10:00,50500793294
2026-01-01 15:15:00,47757185330
2026-01-01 15:20:00,50073222058
2026-01-01 15:25:00,47038901142
2026-01-01 15:30:00,50460441462
2026-01-01 15:35:00,47369709986
